Company Name,Industry,Symbol,Series,ISIN Code
Archies Limited,,ARCHIES,EQ,INE731A01020
Amara Raja Energy & Mobility Limited,,ARE&M,EQ,INE885A01032
Rajdarshan Industries Limited,,ARENTERP,EQ,INE610C01014
Arfin India Limited,,ARFIN,EQ,INE784R01023
Aries Agro Limited,,ARIES,EQ,INE298I01015
Arihant Foundations & Housing Limited,,ARIHANT,EQ,INE413D01011
Arihant Capital Markets Limited,,ARIHANTCAP,EQ,INE420B01036
Arihant Superstructures Limited,,ARIHANTSUP,EQ,INE643K01018
Arisinfra Solutions Limited,,ARIS,EQ,INE0H9P01028
Arkade Developers Limited,,ARKADE,EQ,INE0QRL01017
Arman Financial Services Limited,,ARMANFIN,EQ,INE109C01017
Aro Granite Industries Limited,,AROGRANITE,EQ,INE210C01013
Arrow Greentech Limited,,ARROWGREEN,BE,INE570D01018
Arshiya Limited,,ARSHIYA,BZ,INE968D01022
Anand Rathi Share and Stock Brokers Limited,,ARSSBL,EQ,INE549H01021
Artemis Medicare Services Limited,,ARTEMISMED,EQ,INE025R01021
Art Nirman Limited,,ARTNIRMAN,EQ,INE738V01013
Arvee Laboratories (India) Limited,,ARVEE,EQ,INE006Z01016
Arvind Limited,,ARVIND,EQ,INE034A01011
Arvind Fashions Limited,,ARVINDFASN,EQ,INE955V01021
Arvind SmartSpaces Limited,,ARVSMART,EQ,INE034S01021
Asahi India Glass Limited,,ASAHIINDIA,EQ,INE439A01020
Asahi Songwon Colors Limited,,ASAHISONG,EQ,INE228I01012
Automotive Stampings and Assemblies Limited,,ASAL,EQ,INE900C01027
Associated Alcohols & Breweries Ltd.,,ASALCBR,EQ,INE073G01016
Ashapura Minechem Limited,,ASHAPURMIN,EQ,INE348A01023
Ashiana Housing Limited,,ASHIANA,EQ,INE365D01021
Ashika Credit Capital Limited,,ASHIKA,EQ,INE094B01013
Ashima Limited,,ASHIMASYN,EQ,INE440A01010
Ashoka Buildcon Limited,,ASHOKA,EQ,INE442H01029
Ashoka Metcast Limited,,ASHOKAMET,EQ,INE760Y01011
Ashok Leyland Limited,,ASHOKLEY,EQ,INE208A01029
Asian Energy Services Limited,,ASIANENE,EQ,INE276G01015
Asian Hotels (North) Limited,,ASIANHOTNR,EQ,INE363A01022
Asian Paints Limited,,ASIANPAINT,EQ,INE021A01026
Asian Granito India Limited,,ASIANTILES,EQ,INE022I01019
ASK Automotive Limited,,ASKAUTOLTD,EQ,INE491J01022
Avio Smart Market Stack Limited,,ASMS,BE,INE855F01042
Aspinwall and Company Limited,,ASPINWALL,EQ,INE991I01015
Asian Star Company Limited,,ASTAR,EQ,INE194D01017
Astec LifeSciences Limited,,ASTEC,EQ,INE563J01010
Aster DM Healthcare Limited,,ASTERDM,EQ,INE914M01019
Astral Limited,,ASTRAL,EQ,INE006I01046
Astra Microwave Products Limited,,ASTRAMICRO,EQ,INE386C01029
AstraZeneca Pharma India Limited,,ASTRAZEN,EQ,INE203A01020
Astron Paper & Board Mill Limited,,ASTRON,BE,INE646X01014
Atal Realtech Limited,,ATALREAL,EQ,INE0ALR01029
Atam Valves Limited,,ATAM,EQ,INE09KD01013
Adani Total Gas Limited,,ATGL,EQ,INE399L01023
Ather Energy Limited,,ATHERENERG,EQ,INE0LEZ01016
Allcargo Terminals Limited,,ATL,EQ,INE0NN701020
ATLANTAA LIMITED,,ATLANTAA,EQ,INE285H01022
Atlanta Electricals Limited,,ATLANTAELE,EQ,INE0Z4F01028
Atlas Cycles (Haryana) Limited,,ATLASCYCLE,EQ,INE446A01025
Atul Limited,,ATUL,EQ,INE100A01010
Atul Auto Limited,,ATULAUTO,EQ,INE951D01028
AU Small Finance Bank Limited,,AUBANK,EQ,INE949L01017
Auri Grow India Limited,,AURIGROW,EQ,INE925Y01036
Aurionpro Solutions Limited,,AURIONPRO,EQ,INE132H01018
